category,division,image_link,name,brand,price
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B25951_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Soccer,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B44227_01_standard.jpg?sw=280&sfrm=jpg,Messi 10.3 IN Shoes,Adidas,70
Soccer,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B40157_01_standard.jpg?sw=280&sfrm=jpg,Messi 10.3 TF Shoes,Adidas,70
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B23884_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B23886_01_standard.jpg?sw=280&sfrm=jpg,Tubular Runner Shoes,Adidas,110
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B34373_01_standard.jpg?sw=280&sfrm=jpg,Climachill Cosmic Boost Shoes,Adidas,140
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B44080_01_standard.jpg?sw=280&sfrm=jpg,Climachill Cosmic Boost Shoes,Adidas,140
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B44083_01_standard.jpg?sw=280&sfrm=jpg,Climachill Cosmic Boost Shoes,Adidas,140
Running,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B44082_01_standard.jpg?sw=280&sfrm=jpg,Climachill Cosmic Boost Shoes,Adidas,140
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/C76932_01_standard.jpg?sw=280&sfrm=jpg,Seeley Shoes,Adidas,65
Originals,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/C76865_01_standard.jpg?sw=280&sfrm=jpg,Busenitz Shoes,Adidas,80
Soccer,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/B34583_01_standard.jpg?sw=280&sfrm=jpg,Soccer Primeknit 2.0 FG Cleats,Adidas,300
Soccer,Men's,http://demandware.edgesuite.net/sits_pod20-adidas/dw/image/v2/aaqx_prd/on/demandware.static/Sites-adidas-US-Site/Sites-adidas-products/en_US/v1430772578557/zoom/AF6254_01_standard.jpg?sw=280&sfrm=jpg,Primeknit 2.0 Boost,Adidas,150
